A00,Cholera
D001,Carcinoma in situ of esophagus
D002,Carcinoma in situ of stomach
D01,Carcinoma in situ of other and unspecified digestive organs
D014,Carcinoma in situ of other and unspecified parts of intestine
D015,"Carcinoma in situ of liver, gallbladder and bile ducts"
D017,Carcinoma in situ of other specified digestive organs
D019,"Carcinoma in situ of digestive organ, unspecified"
D02,Carcinoma in situ of middle ear and respiratory system
D022,Carcinoma in situ of bronchus and lung
D023,Carcinoma in situ of other parts of respiratory system
D024,"Carcinoma in situ of respiratory system, unspecified"
D03,Melanoma in situ
D031,"Melanoma in situ of eyelid, including canthus"
D032,Melanoma in situ of ear and external auricular canal
D033,Melanoma in situ of other and unspecified parts of face
D034,Melanoma in situ of scalp and neck
D035,Melanoma in situ of trunk
D036,"Melanoma in situ of upper limb, including shoulder"
D037,"Melanoma in situ of lower limb, including hip"
D038,Melanoma in situ of other sites
D039,"Melanoma in situ, unspecified"
D04,Carcinoma in situ of skin
D041,"Carcinoma in situ of skin of eyelid, including canthus"
D042,Carcinoma in situ of skin of ear and external auricular canal
D043,Carcinoma in situ of skin of other and unspecified parts of face
D044,Carcinoma in situ of skin of scalp and neck
D045,Carcinoma in situ of skin of trunk
D046,"Carcinoma in situ of skin of upper limb, including shoulder"
D047,"Carcinoma in situ of skin of lower limb, including hip"
D048,Carcinoma in situ of skin of other sites
D049,"Carcinoma in situ of skin, unspecified"
D050,Lobular carcinoma in situ of breast
D051,Intraductal carcinoma in situ of breast
D058,Other specified type of carcinoma in situ of breast
D059,Unspecified type of carcinoma in situ of breast
D06,Carcinoma in situ of cervix uteri
D07,Carcinoma in situ of other and unspecified genital organs
D073,Carcinoma in situ of other and unspecified female genital organs
D074,Carcinoma in situ of penis
D075,Carcinoma in situ of prostate
D076,Carcinoma in situ of other and unspecified male genital organs
D09,Carcinoma in situ of other and unspecified sites
D091,Carcinoma in situ of other and unspecified urinary organs
D092,Carcinoma in situ of eye
D093,Carcinoma in situ of thyroid and other endocrine glands
D098,Carcinoma in situ of other specified sites
D099,"Carcinoma in situ, unspecified"
D10,Benign neoplasm of mouth and pharynx
D103,Benign neoplasm of other and unspecified parts of mouth
D104,Benign neoplasm of tonsil
D105,Benign neoplasm of other parts of oropharynx
D106,Benign neoplasm of nasopharynx
D107,Benign neoplasm of hypopharynx
D109,"Benign neoplasm of pharynx, unspecified"
D11,Benign neoplasm of major salivary glands
D12,"Benign neoplasm of colon, rectum, anus and anal canal"
D13,Benign neoplasm of other and ill-defined parts of digestive system
D133,Benign neoplasm of other and unspecified parts of small intestine
D134,Benign neoplasm of liver
D135,Benign neoplasm of extrahepatic bile ducts
D136,Benign neoplasm of pancreas
D137,Benign neoplasm of endocrine pancreas
D139,Benign neoplasm of ill-defined sites within the digestive system
D14,Benign neoplasm of middle ear and respiratory system
D143,Benign neoplasm of bronchus and lung
D144,"Benign neoplasm of respiratory system, unspecified"
D15,Benign neoplasm of other and unspecified intrathoracic organs
D160,Benign neoplasm of scapula and long bones of upper limb
D161,Benign neoplasm of short bones of upper limb
D162,Benign neoplasm of long bones of lower limb
D163,Benign neoplasm of short bones of lower limb
D164,Benign neoplasm of bones of skull and face
D165,Benign neoplasm of lower jaw bone
D166,Benign neoplasm of vertebral column
D167,"Benign neoplasm of ribs, sternum and clavicle"
D168,"Benign neoplasm of pelvic bones, sacrum and coccyx"
D169,"Benign neoplasm of bone and articular cartilage, unspecified"
D17,Benign lipomatous neoplasm
D172,Benign lipomatous neoplasm of skin and subcutaneous tissue of limb
D173,Benign lipomatous neoplasm of skin and subcutaneous tissue of other and unspecified sites
D174,Benign lipomatous neoplasm of intrathoracic organs
D175,Benign lipomatous neoplasm of intra-abdominal organs
D176,Benign lipomatous neoplasm of spermatic cord
D177,Benign lipomatous neoplasm of other sites
D179,"Benign lipomatous neoplasm, unspecified"
D180,Hemangioma
D181,"Lymphangioma, any site"
D19,Benign neoplasm of mesothelial tissue
D20,Benign neoplasm of soft tissue of retroperitoneum and peritoneum
D21,Other benign neoplasms of connective and other soft tissue
D211,"Benign neoplasm of connective and other soft tissue of upper limb, including shoulder"
D212,"Benign neoplasm of connective and other soft tissue of lower limb, including hip"
D213,Benign neoplasm of connective and other soft tissue of thorax
D214,Benign neoplasm of connective and other soft tissue of abdomen
D215,Benign neoplasm of connective and other soft tissue of pelvis
D216,"Benign neoplasm of connective and other soft tissue of trunk, unspecified"
D219,"Benign neoplasm of connective and other soft tissue, unspecified"
D22,Melanocytic nevi
D221,"Melanocytic nevi of eyelid, including canthus"
D222,Melanocytic nevi of ear and external auricular canal
D223,Melanocytic nevi of other and unspecified parts of face
D224,Melanocytic nevi of scalp and neck
D225,Melanocytic nevi of trunk
D226,"Melanocytic nevi of upper limb, including shoulder"
D227,"Melanocytic nevi of lower limb, including hip"
D229,"Melanocytic nevi, unspecified"
D23,Other benign neoplasms of skin
D231,"Other benign neoplasm of skin of eyelid, including canthus"
D232,Other benign neoplasm of skin of ear and external auricular canal
D233,Other benign neoplasm of skin of other and unspecified parts of face
D234,Other benign neoplasm of skin of scalp and neck
D235,Other benign neoplasm of skin of trunk
D236,"Other benign neoplasm of skin of upper limb, including shoulder"
D237,"Other benign neoplasm of skin of lower limb, including hip"
D239,"Other benign neoplasm of skin, unspecified"
D24,Benign neoplasm of breast
D25,Leiomyoma of uterus
D26,Other benign neoplasms of uterus
D27,Benign neoplasm of ovary
D28,Benign neoplasm of other and unspecified female genital organs
D29,Benign neoplasm of male genital organs
D292,Benign neoplasm of testis
D293,Benign neoplasm of epididymis
D294,Benign neoplasm of scrotum
D298,Benign neoplasm of other specified male genital organs
D299,"Benign neoplasm of male genital organ, unspecified"
D300,Benign neoplasm of kidney
D301,Benign neoplasm of renal pelvis
D302,Benign neoplasm of ureter
D303,Benign neoplasm of bladder
D304,Benign neoplasm of urethra
D308,Benign neoplasm of other specified urinary organs
D309,"Benign neoplasm of urinary organ, unspecified"
D310,Benign neoplasm of conjunctiva
D311,Benign neoplasm of cornea
D312,Benign neoplasm of retina
D313,Benign neoplasm of choroid
D314,Benign neoplasm of ciliary body
D315,Benign neoplasm of lacrimal gland and duct
D316,Benign neoplasm of unspecified site of orbit
D319,Benign neoplasm of unspecified part of eye
D32,Benign neoplasm of meninges
D33,Benign neoplasm of brain and other parts of central nervous system
D34,Benign neoplasm of thyroid gland
D350,Benign neoplasm of adrenal gland
D351,Benign neoplasm of parathyroid gland
D352,Benign neoplasm of pituitary gland
D353,Benign neoplasm of craniopharyngeal duct
D354,Benign neoplasm of pineal gland
D355,Benign neoplasm of carotid body
D356,Benign neoplasm of aortic body and other paraganglia
D357,Benign neoplasm of other specified endocrine glands
D359,"Benign neoplasm of endocrine gland, unspecified"
D36,Benign neoplasm of other and unspecified sites
D361,Benign neoplasm of peripheral nerves and autonomic nervous system
D367,Benign neoplasm of other specified sites
D369,"Benign neoplasm, unspecified site"
D370,Benign carcinoid tumors
D3703,Benign carcinoid tumors of the small intestine
D3704,"Benign carcinoid tumors of the appendix, large intestine, and rectum"
D3705,Benign carcinoid tumors of other sites
D3709,Other benign neuroendocrine tumors
D371,"Neoplasm of uncertain behavior of lip, oral cavity and pharynx"
D372,Neoplasm of uncertain behavior of the major salivary glands
D373,Neoplasm of uncertain behavior of the minor salivary glands
D374,Neoplasm of uncertain behavior of pharynx
D375,Neoplasm of uncertain behavior of other specified sites of the oral cavity
D376,Neoplasm of uncertain behavior of stomach
D378,Neoplasm of uncertain behavior of small intestine
D379,Neoplasm of uncertain behavior of appendix
D38,Neoplasm of uncertain behavior of colon
D39,Neoplasm of uncertain behavior of rectum
D391,"Neoplasm of uncertain behavior of liver, gallbladder and bile ducts"
D392,Neoplasm of uncertain behavior of other specified digestive organs
D398,"Neoplasm of uncertain behavior of digestive organ, unspecified"
D399,Neoplasm of uncertain behavior of middle ear and respiratory and intrathoracic organs
D3A0,Neoplasm of uncertain behavior of female genital organs
D3A01,Neoplasm of uncertain behavior of ovary
D3A02,Neoplasm of uncertain behavior of placenta
D3A09,Neoplasm of uncertain behavior of other specified female genital organs
D3A8,"Neoplasm of uncertain behavior of female genital organ, unspecified"
D40,Neoplasm of uncertain behavior of male genital organs
D401,Neoplasm of uncertain behavior of testis
D408,Neoplasm of uncertain behavior of other specified male genital organs
D409,"Neoplasm of uncertain behavior of male genital organ, unspecified"
D410,Neoplasm of uncertain behavior of kidney
D411,Neoplasm of uncertain behavior of renal pelvis
D412,Neoplasm of uncertain behavior of ureter
D413,Neoplasm of uncertain behavior of urethra
D414,Neoplasm of uncertain behavior of bladder
D418,Neoplasm of uncertain behavior of other specified urinary organs
D419,Neoplasm of uncertain behavior of unspecified urinary organ
D42,Neoplasm of uncertain behavior of meninges
D43,Neoplasm of uncertain behavior of brain and central nervous system
D44,Neoplasm of uncertain behavior of endocrine glands
D441,Neoplasm of uncertain behavior of adrenal gland
D442,Neoplasm of uncertain behavior of parathyroid gland
D443,Neoplasm of uncertain behavior of pituitary gland
D444,Neoplasm of uncertain behavior of craniopharyngeal duct
D445,Neoplasm of uncertain behavior of pineal gland
D446,Neoplasm of uncertain behavior of carotid body
D447,Neoplasm of uncertain behavior of aortic body and other paraganglia
D449,Neoplasm of uncertain behavior of unspecified endocrine gland
D45,Polycythemia vera
D46,Myelodysplastic syndromes
D462,Refractory anemia with excess of blasts [RAEB]
D464,Refractory cytopenia with multilineage dysplasia
D469,Refractory cytopenia with multilineage dysplasia and ring sideroblasts
D46A,Myelodysplastic syndrome with isolated del(5q) chromosomal abnormality
D46B,"Refractory anemia, unspecified"
D46C,Other myelodysplastic syndromes
D46Z,"Myelodysplastic syndrome, unspecified"
D470,Mast cell neoplasms of uncertain behavior
D471,Chronic myeloproliferative disease
D472,Monoclonal gammopathy
D473,Essential (hemorrhagic) thrombocythemia
D474,Osteomyelofibrosis
D479,"Other specified neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue"
D47Z,"Neoplasm of uncertain behavior of lymphoid, hematopoietic and related tissue, unspecified"
D48,Neoplasm of uncertain behavior of other and unspecified sites
D486,Neoplasm of uncertain behavior of breast
D487,Neoplasm of uncertain behavior of other specified sites
D489,"Neoplasm of uncertain behavior, unspecified"
D49,Neoplasms of unspecified behavior
D4951,Neoplasm of unspecified behavior of kidney
D4959,Neoplasm of unspecified behavior of other genitourinary organ
D496,Neoplasm of unspecified behavior of brain
D497,Neoplasm of unspecified behavior of endocrine glands and other parts of nervous system
D498,Neoplasm of unspecified behavior of other specified sites
D499,Neoplasm of unspecified behavior of unspecified site
D50,Iron deficiency anemia
D51,Vitamin B12 deficiency anemia
D52,Folate deficiency anemia
D53,Other nutritional anemias
D55,Anemia due to enzyme disorders
D56,Thalassemia
D570,Hb-SS disease with crisis
D571,Sickle-cell disease without crisis
D572,Sickle-cell/Hb-C disease
D5721,Sickle-cell/Hb-C disease with crisis
D573,Sickle-cell trait
D574,Sickle-cell thalassemia
D5741,Sickle-cell thalassemia with crisis
D578,Other sickle-cell disorders
D5781,Other sickle-cell disorders with crisis
D58,Other hereditary hemolytic anemias
D59,Acquired hemolytic anemia
D60,Acquired pure red cell aplasia [erythroblastopenia]
D610,Constitutional aplastic anemia
D611,Drug-induced aplastic anemia
D612,Aplastic anemia due to other external agents
D613,Idiopathic aplastic anemia
D6181,Pancytopenia
D6182,Myelophthisis
D6189,Other specified aplastic anemias and other bone marrow failure syndromes
D619,"Aplastic anemia, unspecified"
D62,Acute posthemorrhagic anemia
D63,Anemia in chronic diseases classified elsewhere
D64,Other anemias
D648,Other specified anemias
D649,"Anemia, unspecified"
D65,Disseminated intravascular coagulation [defibrination syndrome]
D66,Hereditary factor VIII deficiency
D67,Hereditary factor IX deficiency
D68,Other coagulation defects
D6831,"Hemorrhagic disorder due to intrinsic circulating anticoagulants, antibodies, or inhibitors"
D6832,Hemorrhagic disorder due to extrinsic circulating anticoagulants
D684,Acquired coagulation factor deficiency
D685,Primary thrombophilia
D686,Other thrombophilia
D688,Other specified coagulation defects
D689,"Coagulation defect, unspecified"
D69,Purpura and other hemorrhagic conditions
D694,Other primary thrombocytopenia
D695,Secondary thrombocytopenia
D696,"Thrombocytopenia, unspecified"
D698,Other specified hemorrhagic conditions
D699,"Hemorrhagic condition, unspecified"
D70,Neutropenia
D71,Functional disorders of polymorphonuclear neutrophils
D72,Other disorders of white blood cells
D7281,Decreased white blood cell count
D7282,Elevated white blood cell count
D7289,Other specified disorders of white blood cells
D729,"Disorder of white blood cells, unspecified"
D73,Diseases of spleen
D738,Other diseases of spleen
D739,"Disease of spleen, unspecified"
